City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,Simao,22.7886,100.9748,63.52,100,100,1.12,CN,2022-09-11 21:36:30
157,Lagoa,39.05,-27.9833,72.05,79,100,23.85,PT,2022-09-11 21:34:28
158,Baduria,22.7417,88.7858,78.73,97,100,16.35,IN,2022-09-11 21:36:30
159,Rakaia,-43.75,172.0167,54.37,72,100,3.0,NZ,2022-09-11 21:36:31
160,Grandview,38.8858,-94.533,77.47,40,40,11.5,US,2022-09-11 21:36:22
161,Ambon,-3.6954,128.1814,78.24,15,40,5.75,ID,2022-09-11 21:36:31
162,Byron Bay,-28.65,153.6167,59.94,66,100,3.04,AU,2022-09-11 21:33:20
163,Margate,51.3813,1.3862,65.89,90,100,9.35,GB,2022-09-11 21:33:39
164,Vardo,70.3705,31.1107,44.58,93,100,8.05,NO,2022-09-11 21:36:32
165,Nesbyen,60.5681,9.1027,52.02,87,91,3.53,NO,2022-09-11 21:36:33
166,Dumas,35.8656,-101.9732,69.94,49,0,4.61,US,2022-09-11 21:36:33
167,Castro,-24.7911,-50.0119,56.68,97,99,6.51,BR,2022-09-11 21:33:03
168,Adrar,20.5022,-10.0711,96.24,25,13,5.61,MR,2022-09-11 21:36:34
169,Thompson,55.7435,-97.8558,71.76,35,20,10.36,CA,2022-09-11 21:29:13
170,Wasilla,61.5814,-149.4394,55.49,76,100,10.36,US,2022-09-11 21:35:56
171,Qaanaaq,77.484,-69.3632,37.18,98,100,7.92,GL,2022-09-11 21:30:34
172,Bilibino,68.0546,166.4372,46.69,85,98,2.86,RU,2022-09-11 21:31:58
173,Mount Hagen,-5.8581,144.2274,57.96,100,75,0.0,PG,2022-09-11 21:36:35
174,Hobyo,5.3505,48.5268,76.05,87,66,22.39,SO,2022-09-11 21:36:36
175,Srednekolymsk,67.45,153.6833,41.92,88,100,9.62,RU,2022-09-11 21:36:36
176,Leova,46.4786,28.2553,63.0,74,95,4.92,MD,2022-09-11 21:36:36
177,Bogande,12.9714,-0.1436,79.81,72,41,6.49,BF,2022-09-11 21:36:37
178,Sioux Lookout,50.1001,-91.917,66.27,45,20,10.36,CA,2022-09-11 21:36:37
179,Luderitz,-26.6481,15.1594,58.68,69,56,25.26,NA,2022-09-11 21:33:02
180,Ratnagiri,16.9833,73.3,78.24,95,100,14.79,IN,2022-09-11 21:36:38
181,Antofagasta,-23.65,-70.4,58.28,77,71,9.8,CL,2022-09-11 21:34:51
182,Bilma,18.6853,12.9164,91.62,14,83,7.43,NE,2022-09-11 21:37:39
183,Korla,41.7597,86.1469,79.56,19,99,12.68,CN,2022-09-11 21:37:39
184,Faanui,-16.4833,-151.75,79.14,72,7,16.58,PF,2022-09-11 21:33:06
185,Hutang,31.5333,119.4833,67.1,94,0,4.52,CN,2022-09-11 21:37:40
186,Hithadhoo,-0.6,73.0833,81.66,72,42,14.36,MV,2022-09-11 21:24:35
187,Yar,58.249,52.1026,41.92,94,88,2.91,RU,2022-09-11 21:37:40
188,Da Nang,16.0678,108.2208,75.18,94,40,3.44,VN,2022-09-11 21:37:41
189,Maragogi,-9.0122,-35.2225,73.6,77,70,7.07,BR,2022-09-11 21:37:41
190,Ancud,-41.8697,-73.8203,48.22,86,100,5.75,CL,2022-09-11 21:33:16
191,Tomatlan,19.9333,-105.25,85.71,71,100,7.56,MX,2022-09-11 21:37:42
192,Sarangani,5.4033,125.4636,83.23,72,41,9.15,PH,2022-09-11 21:37:42
193,Kahului,20.8947,-156.47,87.82,66,40,16.11,US,2022-09-11 21:29:03
194,Yumen,40.2833,97.2,61.47,27,0,7.47,CN,2022-09-11 21:33:18
195,Tuktoyaktuk,69.4541,-133.0374,39.2,75,100,0.0,CA,2022-09-11 21:30:36
196,Broken Hill,-31.95,141.4333,51.13,59,1,7.02,AU,2022-09-11 21:30:37
197,Mahebourg,-20.4081,57.7,71.89,73,75,4.61,MU,2022-09-11 21:31:47
198,Kavaratti,10.5669,72.642,80.31,83,100,19.24,IN,2022-09-11 21:37:43
199,Onega,63.9061,38.1404,47.25,77,100,6.42,RU,2022-09-11 21:37:44
200,Dikson,73.5069,80.5464,35.35,99,100,26.4,RU,2022-09-11 21:37:07
201,Bridgetown,13.1,-59.6167,86.49,70,75,12.66,BB,2022-09-11 21:35:16
202,Tamiahua,21.2667,-97.45,85.32,63,14,9.48,MX,2022-09-11 21:37:45
203,Hualmay,-11.0964,-77.6139,63.55,76,22,12.37,PE,2022-09-11 21:37:45
204,Tetiyiv,49.3767,29.6647,57.7,85,99,12.15,UA,2022-09-11 21:37:46
205,Teeli,51.0333,90.2333,52.95,67,100,0.36,RU,2022-09-11 21:37:46
206,Alugan,12.2188,125.4808,77.9,87,87,4.05,PH,2022-09-11 21:37:46
207,Sakaiminato,35.55,133.2333,73.38,100,75,3.44,JP,2022-09-11 21:37:47
208,Beyneu,45.3167,55.2,58.39,31,0,6.87,KZ,2022-09-11 21:37:47
209,Victoria,22.2855,114.1577,85.32,81,6,1.99,HK,2022-09-11 21:34:17
210,Havre-Saint-Pierre,50.2334,-63.5986,62.96,82,0,5.75,CA,2022-09-11 21:37:48
211,Melfi,40.9965,15.6514,64.65,77,30,2.39,IT,2022-09-11 21:37:48
212,Poronaysk,49.2167,143.1167,57.74,86,100,4.29,RU,2022-09-11 21:37:49
213,Ostrovnoy,68.0531,39.5131,47.98,95,100,6.13,RU,2022-09-11 21:34:32
214,Khatanga,71.9667,102.5,30.49,82,81,5.7,RU,2022-09-11 21:37:02
215,Fortuna,40.5982,-124.1573,68.94,85,0,8.05,US,2022-09-11 21:35:44
216,Necochea,-38.5473,-58.7368,54.82,56,56,6.85,AR,2022-09-11 21:37:50
217,Ilebo,-4.3167,20.5833,71.69,96,96,3.13,CD,2022-09-11 21:37:50
218,Tornio,65.8481,24.1466,50.02,88,98,9.62,FI,2022-09-11 21:37:50
219,Ilulissat,69.2167,-51.1,48.22,76,100,12.66,GL,2022-09-11 21:30:25
220,Yerbogachen,61.2767,108.0108,37.31,93,43,3.53,RU,2022-09-11 21:37:51
221,Morristown,36.214,-83.2949,82.45,69,40,6.91,US,2022-09-11 21:34:01
222,Aljezur,37.3191,-8.8033,68.92,87,99,8.34,PT,2022-09-11 21:37:52
223,Ust-Nera,64.5667,143.2,34.57,79,78,5.5,RU,2022-09-11 21:37:52
224,Cape Coast,5.1053,-1.2466,74.41,90,24,12.82,GH,2022-09-11 21:37:53
225,Berdigestyakh,62.0989,126.6992,37.49,92,98,3.74,RU,2022-09-11 21:37:53
226,Port Hedland,-20.3167,118.5667,60.85,94,0,4.61,AU,2022-09-11 21:37:53
227,Mayor Pablo Lagerenza,-19.9309,-60.7718,88.95,27,13,5.3,PY,2022-09-11 21:37:54
228,Sokoni,-6.4333,39.55,75.2,79,4,14.88,TZ,2022-09-11 21:37:54
229,Andapa,-14.65,49.65,60.24,99,79,1.88,MG,2022-09-11 21:37:55
230,San Rafael Del Sur,11.8485,-86.4384,74.37,80,94,5.03,NI,2022-09-11 21:37:55
231,Gimli,50.6336,-96.9907,75.22,33,0,11.5,CA,2022-09-11 21:38:55
232,Troy,42.6056,-83.1499,78.67,72,0,4.61,US,2022-09-11 21:38:56
233,Gizo,-8.103,156.8419,82.94,69,4,8.63,SB,2022-09-11 21:38:56
234,Fort Nelson,58.8053,-122.7002,62.19,45,75,4.61,CA,2022-09-11 21:29:44
235,Lac Du Bonnet,50.2536,-96.0612,75.81,21,0,9.04,CA,2022-09-11 21:38:57
236,Dunedin,-45.8742,170.5036,47.8,86,100,3.69,NZ,2022-09-11 21:35:41
237,Ola,59.5833,151.2833,50.29,67,16,3.15,RU,2022-09-11 21:38:58
238,Belgrade,44.804,20.4651,63.34,75,20,6.91,RS,2022-09-11 21:37:43
239,Angoche,-16.2325,39.9086,72.84,81,0,5.68,MZ,2022-09-11 21:38:58
240,Woodward,36.4337,-99.3904,78.96,32,0,4.61,US,2022-09-11 21:38:59
241,Ahipara,-35.1667,173.1667,60.24,91,23,18.32,NZ,2022-09-11 21:34:25
242,Vostok,46.4856,135.8833,57.85,78,99,2.26,RU,2022-09-11 21:39:00
243,Sakakah,29.9697,40.2064,94.57,17,3,5.61,SA,2022-09-11 21:39:00
244,Hanyang,32.1371,105.5126,62.82,92,29,3.0,CN,2022-09-11 21:39:00
245,Ginir,7.1333,40.7,59.47,82,60,4.88,ET,2022-09-11 21:39:01
246,Vestmanna,62.1564,-7.1664,47.32,100,100,9.22,FO,2022-09-11 21:39:01
247,Severnyy,50.677,36.5532,53.64,54,0,11.18,RU,2022-09-11 21:39:02
248,Buraydah,26.326,43.975,88.25,10,0,5.23,SA,2022-09-11 21:34:36
249,Verkhoyansk,67.5447,133.385,38.21,91,100,3.42,RU,2022-09-11 21:31:50
250,Stephenville,32.2207,-98.2023,83.25,49,0,8.05,US,2022-09-11 21:39:03
251,Marzuq,14.4,46.4667,81.93,47,82,6.42,YE,2022-09-11 21:39:03
252,Yar-Sale,66.8333,70.8333,45.07,84,100,14.97,RU,2022-09-11 21:39:04
253,Port Lincoln,-34.7333,135.8667,52.5,87,57,4.0,AU,2022-09-11 21:30:44
254,Sur,22.5667,59.5289,86.81,57,74,8.66,OM,2022-09-11 21:31:54
255,Biak,-0.9131,122.8766,73.94,86,94,4.43,ID,2022-09-11 21:33:20
256,Souillac,-20.5167,57.5167,71.98,73,75,4.61,MU,2022-09-11 21:36:58
257,Ust-Ilimsk,58.0006,102.6619,45.14,89,100,3.4,RU,2022-09-11 21:39:05
258,Lavrentiya,65.5833,-171.0,46.04,73,100,19.46,RU,2022-09-11 21:39:06
259,Touros,-5.1989,-35.4608,77.36,77,70,17.4,BR,2022-09-11 21:39:06
260,Rzhyshchiv,49.9689,31.0463,55.54,95,79,8.97,UA,2022-09-11 21:39:07
261,Sa Kaeo,13.75,102.3333,73.76,97,95,5.5,TH,2022-09-11 21:39:07
262,Ust-Tsilma,65.441,52.1498,43.61,96,99,4.74,RU,2022-09-11 21:39:08
263,Banda Aceh,5.5577,95.3222,78.96,80,100,5.59,ID,2022-09-11 21:39:08
264,Havoysund,70.9963,24.6622,43.03,96,100,15.21,NO,2022-09-11 21:31:57
