City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
103,Punta Arenas,CL,-53.15,-70.9167,39.31,75,40,2.3,scattered clouds
104,Mount Isa,AU,-20.7333,139.5,78.57,27,95,9.22,overcast clouds
105,Bagdarin,RU,54.4333,113.6,47.8,70,32,3.22,scattered clouds
106,Nkowakowa,ZA,-23.8878,30.2871,67.57,25,0,3.47,clear sky
107,Nemuro,JP,43.3236,145.575,65.61,81,59,9.89,broken clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,87,100,3.44,overcast clouds
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.27,74,100,8.77,overcast clouds
110,Hermanus,ZA,-34.4187,19.2345,47.8,67,31,3.87,scattered clouds
111,Elko,US,41.0002,-115.5012,89.64,10,43,3.0,scattered clouds
112,Cidreira,BR,-30.1811,-50.2056,56.77,73,52,13.22,broken clouds
113,Heihe,CN,50.2441,127.4902,52.38,91,100,8.77,overcast clouds
114,Avera,US,33.194,-82.5271,77.05,92,100,6.04,overcast clouds
115,Ilulissat,GL,69.2167,-51.1,46.42,87,100,6.91,drizzle
116,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,82,3.0,broken clouds
117,Phibun Mangsahan,TH,15.2447,105.2291,78.85,85,17,5.7,few clouds
118,Jiangkou,CN,25.4872,119.1986,86.02,51,36,6.17,scattered clouds
119,Oranjemund,NA,-28.55,16.4333,53.28,78,100,17.96,overcast clouds
120,Alassio,IT,44.0039,8.1671,73.49,75,0,4.0,clear sky
121,Jamestown,US,42.097,-79.2353,69.03,76,100,3.44,overcast clouds
122,Ancud,CL,-41.8697,-73.8203,47.23,88,98,4.36,overcast clouds
123,Aklavik,CA,68.2191,-135.0107,43.68,89,100,4.81,overcast clouds
124,Rio Grande,BR,-32.035,-52.0986,49.95,85,5,6.85,clear sky
125,Atuona,PF,-9.8,-139.0333,77.02,69,0,15.84,clear sky
126,Luderitz,NA,-26.6481,15.1594,57.09,69,95,23.42,overcast clouds
127,Upernavik,GL,72.7868,-56.1549,40.14,95,100,6.87,overcast clouds
128,Anloga,GH,5.7947,0.8973,76.51,83,58,12.53,broken clouds
129,Kariba,ZW,-16.5167,28.8,69.46,41,0,3.4,clear sky
130,Sinnamary,GF,5.3833,-52.95,78.73,84,8,6.08,clear sky
131,Bapatla,IN,15.9,80.4667,78.94,78,100,13.98,overcast clouds
132,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,6.91,broken clouds
133,Cape Town,ZA,-33.9258,18.4232,56.37,73,4,4.0,clear sky
134,Lithakia,GR,37.7167,20.8333,74.57,73,0,15.68,clear sky
135,Tiksi,RU,71.6872,128.8694,37.22,75,86,14.81,overcast clouds
136,Namibe,AO,-15.1961,12.1522,63.23,87,98,7.96,overcast clouds
137,Jumla,NP,29.2747,82.1838,60.01,93,95,0.81,overcast clouds
138,Bestobe,KZ,52.4994,73.0975,43.05,77,16,14.94,few clouds
139,Florida,US,28.7505,-82.5001,79.92,86,0,0.0,clear sky
140,Laguna,US,38.421,-121.4238,94.32,22,0,8.05,clear sky
141,Barbastro,ES,42.0356,0.1269,73.94,67,89,5.84,overcast clouds
142,Severo-Kurilsk,RU,50.6789,156.125,56.55,79,45,10.02,scattered clouds
143,Sosnovo-Ozerskoye,RU,52.5249,111.5418,52.52,54,57,3.8,broken clouds
144,Sao Filipe,CV,14.8961,-24.4956,77.27,82,26,12.48,scattered clouds
145,Hilo,US,19.7297,-155.09,85.73,71,40,13.8,scattered clouds
146,Kharp,RU,66.8014,65.8081,38.89,94,100,7.38,overcast clouds
147,Nome,US,64.5011,-165.4064,51.87,93,100,19.57,moderate rain
148,Atar,MR,20.5169,-13.0499,94.1,34,88,5.19,overcast clouds
149,Georgetown,MY,5.4112,100.3354,82.89,80,20,2.3,few clouds
150,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,77,0,3.0,clear sky
151,Kahului,US,20.8947,-156.47,84.22,71,40,18.41,scattered clouds
152,Barrow,US,71.2906,-156.7887,37.42,93,100,17.27,mist
153,Araouane,ML,18.9048,-3.5265,95.92,27,12,9.55,few clouds
154,Camacha,PT,33.0833,-16.3333,71.02,83,75,14.97,broken clouds
155,Victoria,HK,22.2855,114.1577,89.26,77,11,8.01,few clouds
156,Frederico Westphalen,BR,-27.3592,-53.3944,57.43,96,76,2.1,broken clouds
157,Nehe,CN,48.4833,124.8333,63.66,63,92,12.37,overcast clouds
158,Prisacani,RO,47.0833,27.8833,58.53,94,11,4.45,few clouds
159,Paita,PE,-5.0892,-81.1144,63.99,80,2,16.98,clear sky
160,Yellowknife,CA,62.456,-114.3525,46.92,76,100,11.5,overcast clouds
161,Saldanha,ZA,-33.0117,17.9442,54.14,73,1,14.67,clear sky
162,Saint-Augustin,CA,51.226,-58.6502,54.86,80,0,7.96,clear sky
163,Sungairaya,ID,0.7,108.9,80.91,79,95,1.25,overcast clouds
164,Sarab,IR,38.6066,44.9883,60.49,66,0,0.94,clear sky
165,Ribeira Grande,PT,38.5167,-28.7,72.95,78,100,19.69,overcast clouds
166,Nanortalik,GL,60.1432,-45.2371,43.05,94,99,8.7,overcast clouds
167,Sheridan,US,44.8333,-106.9173,77.02,35,0,3.44,clear sky
168,Husavik,IS,66.0449,-17.3389,47.34,94,100,2.8,overcast clouds
169,Skorodnoye,RU,51.071,37.2276,56.3,33,100,16.15,overcast clouds
170,Anito,PH,12.4497,125.2886,86.27,67,100,9.55,overcast clouds
171,Praya,CV,14.9215,-23.5087,78.04,82,5,11.72,clear sky
172,Alcaniz,ES,41.05,-0.1333,76.95,63,100,5.3,overcast clouds
173,Touros,BR,-5.1989,-35.4608,76.91,77,38,15.61,scattered clouds
174,Fartura,BR,-23.3883,-49.51,58.32,83,100,10.96,overcast clouds
175,Asau,RO,46.4333,26.4,54.52,91,44,5.57,scattered clouds
176,Chicama,PE,-7.8447,-79.1469,59.54,82,99,7.34,overcast clouds
177,Tucumcari,US,35.1717,-103.725,71.44,56,0,9.22,clear sky
178,Saint-Philippe,RE,-21.3585,55.7679,63.99,78,40,9.04,scattered clouds
179,Ixtapa,MX,20.7,-105.2,83.43,84,100,4.61,overcast clouds
180,Beringovskiy,RU,63.05,179.3167,46.65,75,60,18.97,broken clouds
181,Los Alamos,US,35.8881,-106.307,70.36,44,40,13.8,light rain
182,Hithadhoo,MV,-0.6,73.0833,81.61,72,45,12.75,scattered clouds
183,Blagodatnoye,RU,45.3997,42.5867,59.92,78,74,15.95,broken clouds
184,Menongue,AO,-14.6585,17.691,58.32,25,5,3.04,clear sky
185,Butaritari,KI,3.0707,172.7902,81.7,73,14,13.15,few clouds
186,Prince George,CA,53.9166,-122.753,78.62,30,0,5.75,clear sky
187,Lake Charles,US,30.2131,-93.2044,83.01,72,0,5.75,clear sky
188,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,9.22,scattered clouds
189,Bogorodskoye,RU,56.55,37.8833,45.59,67,100,5.21,overcast clouds
190,Chokurdakh,RU,70.6333,147.9167,41.14,70,100,8.75,overcast clouds
191,Stornoway,GB,58.2093,-6.3865,51.76,94,100,3.0,overcast clouds
192,Cap-Aux-Meules,CA,47.3821,-61.8597,62.65,82,0,11.5,clear sky
193,Najran,SA,17.4924,44.1277,75.85,25,26,2.01,scattered clouds
194,Alyangula,AU,-13.8483,136.4192,81.75,71,52,5.37,broken clouds
195,Hasaki,JP,35.7333,140.8333,82.29,82,57,17.6,broken clouds
196,Taoudenni,ML,22.6783,-3.9836,96.87,15,34,6.44,scattered clouds
197,Lebu,CL,-37.6167,-73.65,48.27,88,68,3.83,broken clouds
198,Pevek,RU,69.7008,170.3133,40.59,73,6,4.23,clear sky
199,Lima,PE,-12.0432,-77.0282,60.91,80,100,12.66,overcast clouds
200,Port Barton,PH,10.4756,119.2472,83.7,74,88,4.5,overcast clouds
201,Saravan,AM,39.7196,45.6483,55.72,50,0,4.41,clear sky
202,Thompson,CA,55.7435,-97.8558,60.96,51,40,3.44,scattered clouds
203,Lewistown,US,40.5992,-77.5714,71.19,97,100,0.0,overcast clouds
204,Dandong,CN,40.1292,124.3947,72.21,75,0,1.74,clear sky
205,Vestmannaeyjar,IS,63.4427,-20.2734,49.96,80,92,11.92,overcast clouds
206,Abong Mbang,CM,3.9833,13.1833,65.95,99,100,4.21,overcast clouds
207,Dulce Grande,MX,23.0,-102.1667,69.44,47,100,4.72,overcast clouds
208,Lafia,NG,8.4833,8.5167,71.28,98,94,2.33,overcast clouds
209,Mahibadhoo,MV,3.7833,72.9667,81.36,74,65,12.66,broken clouds
210,Ponta Do Sol,PT,32.6667,-17.1,76.01,92,100,13.13,light rain
211,Brae,GB,60.3964,-1.353,55.92,96,100,11.32,light rain
212,Golden,US,39.7555,-105.2211,73.87,38,0,0.0,clear sky
213,Alice Springs,AU,-23.7,133.8833,63.95,63,0,10.36,clear sky
214,Coihaique,CL,-45.5752,-72.0662,46.35,71,100,2.3,overcast clouds
215,Saint-Pierre,RE,-21.3393,55.4781,72.57,55,0,5.75,clear sky
216,Roald,NO,62.5833,6.1333,56.75,93,75,4.61,broken clouds
217,La Rioja,ES,42.25,-2.5,69.58,44,86,10.36,overcast clouds
218,Pio Ix,BR,-6.8375,-40.5792,76.28,37,63,6.49,broken clouds
219,Olafsvik,IS,64.8945,-23.7142,48.92,60,100,5.44,overcast clouds
220,Portland,US,45.5234,-122.6762,82.36,38,100,3.44,overcast clouds
221,Katobu,ID,-4.9408,122.5276,83.43,61,100,6.11,overcast clouds
222,Algiers,DZ,36.7525,3.042,71.42,68,0,3.44,clear sky
223,Puerto Madero,MX,14.7208,-92.4215,75.4,100,100,3.44,overcast clouds
224,Zhangjiakou,CN,40.81,114.8794,69.98,60,0,2.21,clear sky
225,Hami,CN,42.8,93.45,81.66,15,0,3.83,clear sky
226,Chumikan,RU,54.7183,135.315,45.12,92,100,14.36,moderate rain
227,Flinders,AU,-34.5833,150.8552,68.05,49,6,7.0,clear sky
228,Mount Gambier,AU,-37.8333,140.7667,52.57,56,37,7.2,scattered clouds
229,Cabedelo,BR,-6.9811,-34.8339,74.07,80,24,12.53,few clouds
230,North Platte,US,41.1239,-100.7654,70.25,47,0,5.01,clear sky
231,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,41,0,14.97,clear sky
232,Surenavan,AM,39.75,44.8,63.72,55,0,3.09,clear sky
233,Padang,ID,-0.9492,100.3543,78.85,72,100,3.18,overcast clouds
234,Mombetsu,JP,44.3525,143.3525,71.62,68,75,4.61,broken clouds
235,Kalabo,ZM,-14.97,22.6814,63.19,19,0,5.03,clear sky
236,Hokitika,NZ,-42.7167,170.9667,52.07,80,100,3.62,overcast clouds
237,Airai,TL,-8.9266,125.4092,74.35,34,79,3.51,broken clouds
238,Nalut,LY,30.3333,10.85,85.68,23,78,5.01,broken clouds
239,Chipinge,ZW,-20.1883,32.6236,57.72,49,0,3.33,clear sky
240,Naryan-Mar,RU,67.6713,53.087,42.17,94,100,10.33,light rain
241,Sembakung,ID,3.8167,117.25,82.27,72,100,1.28,overcast clouds
242,Okhotsk,RU,59.3833,143.3,51.94,44,0,17.72,clear sky
